,,,,,,,,,,,,,,,,,,
,Title:,National Imaging Data Collection - Asset count,,,,,,,,,,,,,,,,
,Summary:,The count of imaging assets,,,,,,,,,,,,,,,,
,Period:,31/03/2025,,,,,,,,,,,,,,,,
,Source:,National Imaging Data Collection,,,,,,,,,,,,,,,,
,Basis:,"England, region and organisation",,,,,,,,,,,,,,,,
,Published:,12th February 2026,,,,,,,,,,,,,,,,
,Status:,Published,,,,,,,,,,,,,,,,
,Contact:,england.imageservices@nhs.net,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"By ICB, Imaging Networks and Trusts",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Region Code,Region,ICB - Integrated Care Board,Imaging Network,Organisation Code,Organisation Name, Total , MRI , CT , Ultrasound , X-Ray , Mammography , Interventional Radiology , Fluoroscopy , Nuclear Medicine , DEXA , Dental , Catheter Lab 
,Y56,London,NHS North Central London ICB,North Central London   ,RAL,Royal Free London NHS Foundation Trust,142 ,11 ,10 ,45 ,27 ,5 ,8 ,20 ,7 ,2 ,7 ,
,Y56,London,NHS North Central London ICB,North Central London   ,RAN,Royal National Orthopaedic Hospital NHS Trust,30 ,2 ,1 ,4 ,10 ,,,11 ,1 ,1 ,,
,Y56,London,NHS North Central London ICB,North Central London   ,RAP,North Middlesex University Hospital NHS Trust,46 ,2 ,3 ,22 ,10 ,1 ,3 ,3 ,1 ,0 ,1 ,
,Y56,London,NHS North Central London ICB,North Central London   ,RKE,Whittington Health NHS Trust,58 ,3 ,3 ,29 ,10 ,2 ,1 ,7 ,1 ,1 ,1 ,
,Y56,London,NHS North Central London ICB,North Central London   ,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,41 ,6 ,1 ,13 ,5 ,,3 ,7 ,3 ,1 ,2 ,
,Y56,London,NHS North Central London ICB,North Central London   ,RP6,Moorfields Eye Hospital NHS Foundation Trust,27 ,,1 ,23 ,2 ,,,1 ,,,,
,Y56,London,NHS North Central London ICB,North Central London   ,RRV,University College London Hospitals NHS Foundation Trust,134 ,10 ,9 ,35 ,27 ,6 ,6 ,22 ,8 ,1 ,10 ,
,Y56,London,NHS North East London ICB,North East London,R1H,Barts Health NHS Trust,253 ,9 ,12 ,103 ,65 ,12 ,2 ,38 ,7 ,1 ,4 ,
,Y56,London,NHS North East London ICB,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",102 ,7 ,8 ,36 ,22 ,2 ,2 ,15 ,3 ,1 ,6 ,
,Y56,London,NHS North East London ICB,North East London,RQX,Homerton Healthcare NHS Foundation Trust,41 ,2 ,2 ,15 ,11 ,1 ,,6 ,,1 ,3 ,
,Y56,London,NHS North West London ICB,North West London,R1K,London North West University Healthcare NHS Trust,122 ,8 ,9 ,49 ,26 ,4 ,3 ,11 ,3 ,2 ,5 ,2 
,Y56,London,NHS North West London ICB,North West London,RAS,The Hillingdon Hospitals NHS Foundation Trust,69 ,2 ,2 ,31 ,15 ,3 ,3 ,11 ,1 ,,1 ,
,Y56,London,NHS North West London ICB,North West London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,109 ,2 ,5 ,58 ,23 ,1 ,1 ,12 ,3 ,1 ,2 ,1 
,Y56,London,NHS North West London ICB,North West London,RYJ,Imperial College Healthcare NHS Trust,130 ,12 ,9 ,44 ,35 ,0 ,7 ,17 ,4 ,1 ,1 ,
,Y56,London,NHS South East London ICB,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,150 ,16 ,14 ,27 ,44 ,2 ,6 ,22 ,10 ,5 ,,4 
,Y56,London,NHS South East London ICB,South East London,RJ2,Lewisham and Greenwich NHS Trust,73 ,3 ,4 ,29 ,20 ,2 ,1 ,10 ,1 ,2 ,1 ,
,Y56,London,NHS South East London ICB,South East London,RJZ,King's College Hospital NHS Foundation Trust,196 ,7 ,7 ,41 ,38 ,20 ,6 ,21 ,3 ,2 ,51 ,
,Y56,London,NHS South East London ICB,South East London,RV5,South London and Maudsley NHS Foundation Trust,1 ,1 ,,,,,,,,,,
,Y56,London,NHS South West London ICB,South West London ,RAX,Kingston and Richmond NHS Foundation Trust,57 ,3 ,4 ,21 ,12 ,2 ,,4 ,2 ,1 ,7 ,1 
,Y56,London,NHS South West London ICB,South West London ,RJ6,Croydon Health Services NHS Trust,45 ,3 ,3 ,16 ,12 ,1 ,1 ,6 ,,1 ,2 ,
,Y56,London,NHS South West London ICB,South West London ,RJ7,St George's University Hospitals NHS Foundation Trust,151 ,5 ,5 ,59 ,23 ,12 ,2 ,31 ,4 ,2 ,8 ,
,Y56,London,NHS South West London ICB,South West London ,RPY,The Royal Marsden NHS Foundation Trust,53 ,8 ,5 ,10 ,8 ,6 ,1 ,6 ,6 ,1 ,2 ,
,Y56,London,NHS South West London ICB,South West London ,RVR,Epsom and St Helier University Hospitals NHS Trust,66 ,4 ,5 ,20 ,19 ,,4 ,6 ,1 ,1 ,6 ,
,Y58,South West,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",West of England ,RD1,Royal United Hospitals Bath NHS Foundation Trust,61 ,3 ,4 ,18 ,22 ,3 ,1 ,7 ,1 ,,,2 
,Y58,South West,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",West of England ,RN3,Great Western Hospitals NHS Foundation Trust,52 ,3 ,6 ,15 ,13 ,7 ,,6 ,1 ,1 ,,
,Y58,South West,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",West of England ,RNZ,Salisbury NHS Foundation Trust,59 ,3 ,3 ,18 ,15 ,2 ,,10 ,1 ,1 ,4 ,2 
,Y58,South West,"NHS Bristol, North Somerset and South Gloucestershire ICB",West of England ,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,126 ,8 ,10 ,37 ,31 ,1 ,1 ,18 ,2 ,2 ,9 ,7 
,Y58,South West,"NHS Bristol, North Somerset and South Gloucestershire ICB",West of England ,RVJ,North Bristol NHS Trust,74 ,7 ,6 ,16 ,23 ,5 ,4 ,10 ,3 ,,,
,Y58,South West,NHS Cornwall and The Isles of Scilly ICB,Peninsula,REF,Royal Cornwall Hospitals NHS Trust,112 ,5 ,6 ,43 ,30 ,5 ,2 ,10 ,3 ,2 ,4 ,2 
,Y58,South West,NHS Devon ICB,Peninsula,RA9,Torbay and South Devon NHS Foundation Trust,52 ,2 ,3 ,15 ,13 ,3 ,1 ,8 ,1 ,1 ,3 ,2 
,Y58,South West,NHS Devon ICB,Peninsula,RH8,Royal Devon University Healthcare NHS Foundation Trust,103 ,4 ,6 ,27 ,36 ,1 ,3 ,17 ,2 ,2 ,5 ,
,Y58,South West,NHS Devon ICB,Peninsula,RK9,University Hospitals Plymouth NHS Trust,126 ,9 ,11 ,36 ,25 ,7 ,3 ,20 ,5 ,2 ,4 ,4 
,Y58,South West,NHS Dorset ICB,Wessex,R0D,University Hospitals Dorset NHS Foundation Trust,108 ,7 ,9 ,34 ,23 ,9 ,2 ,15 ,2 ,2 ,5 ,
,Y58,South West,NHS Dorset ICB,Wessex,RBD,Dorset County Hospital NHS Foundation Trust,33 ,2 ,3 ,9 ,7 ,1 ,1 ,7 ,,1 ,2 ,
,Y58,South West,NHS Gloucestershire ICB,West of England ,RTE,Gloucestershire Hospitals NHS Foundation Trust,100 ,4 ,8 ,29 ,28 ,6 ,4 ,11 ,3 ,2 ,3 ,2 
,Y58,South West,NHS Somerset ICB,West of England ,RH5,Somerset NHS Foundation Trust,104 ,7 ,11 ,40 ,25 ,7 ,1 ,11 ,0 ,2 ,,
,Y59,South East,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Thames Valley Radiology Network ,RHW,Royal Berkshire NHS Foundation Trust,64 ,3 ,6 ,17 ,25 ,2 ,2 ,7 ,,1 ,1 ,
,Y59,South East,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Thames Valley Radiology Network ,RTH,Oxford University Hospitals NHS Foundation Trust,153 ,10 ,10 ,40 ,55 ,8 ,4 ,17 ,3 ,1 ,5 ,
,Y59,South East,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Thames Valley Radiology Network ,RXQ,Buckinghamshire Healthcare NHS Trust,81 ,3 ,4 ,42 ,20 ,,1 ,7 ,1 ,1 ,2 ,
,Y59,South East,NHS Frimley ICB,"Frimley, Surrey & Sussex ",RDU,Frimley Health NHS Foundation Trust,148 ,3 ,7 ,54 ,34 ,8 ,4 ,24 ,1 ,2 ,8 ,3 
,Y59,South East,NHS Hampshire and Isle of Wight ICB,Wessex,R1F,Isle of Wight NHS Trust,33 ,2 ,3 ,9 ,10 ,3 ,,4 ,,1 ,1 ,
,Y59,South East,NHS Hampshire and Isle of Wight ICB,Wessex,RHM,University Hospital Southampton NHS Foundation Trust,115 ,9 ,7 ,32 ,29 ,,5 ,20 ,3 ,3 ,3 ,4 
,Y59,South East,NHS Hampshire and Isle of Wight ICB,Wessex,RHU,Portsmouth Hospitals University National Health Service Trust,86 ,6 ,7 ,28 ,26 ,5 ,2 ,8 ,4 ,,,
,Y59,South East,NHS Hampshire and Isle of Wight ICB,Wessex,RN5,Hampshire Hospitals NHS Foundation Trust,67 ,5 ,5 ,14 ,23 ,2 ,2 ,10 ,1 ,1 ,2 ,2 
,Y59,South East,NHS Hampshire and Isle of Wight ICB,Wessex,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,13 ,1 ,1 ,4 ,4 ,,,2 ,,1 ,0 ,
,Y59,South East,NHS Kent and Medway ICB,Kent & Medway ,RN7,Dartford and Gravesham NHS Trust,60 ,3 ,5 ,20 ,17 ,2 ,2 ,7 ,1 ,1 ,1 ,1 
,Y59,South East,NHS Kent and Medway ICB,Kent & Medway ,RPA,Medway NHS Foundation Trust,48 ,3 ,2 ,7 ,16 ,7 ,0 ,7 ,3 ,1 ,2 ,
,Y59,South East,NHS Kent and Medway ICB,Kent & Medway ,RVV,East Kent Hospitals University NHS Foundation Trust,126 ,7 ,7 ,33 ,31 ,5 ,3 ,28 ,3 ,2 ,4 ,3 
,Y59,South East,NHS Kent and Medway ICB,Kent & Medway ,RWF,Maidstone and Tunbridge Wells NHS Trust,99 ,6 ,7 ,27 ,27 ,7 ,2 ,18 ,2 ,1 ,0 ,2 
,Y59,South East,NHS Surrey Heartlands ICB,"Frimley, Surrey & Sussex ",RA2,Royal Surrey County Hospital NHS Foundation Trust,52 ,4 ,5 ,14 ,14 ,2 ,1 ,9 ,,,3 ,
,Y59,South East,NHS Surrey Heartlands ICB,"Frimley, Surrey & Sussex ",RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,64 ,5 ,4 ,19 ,17 ,2 ,1 ,11 ,,1 ,4 ,
,Y59,South East,NHS Surrey Heartlands ICB,"Frimley, Surrey & Sussex ",RTP,Surrey and Sussex Healthcare NHS Trust,60 ,3 ,4 ,23 ,16 ,2 ,1 ,7 ,2 ,1 ,1 ,
,Y59,South East,NHS Sussex ICB,"Frimley, Surrey & Sussex ",RPC,Queen Victoria Hospital NHS Foundation Trust,22 ,1 ,1 ,6 ,4 ,,1 ,3 ,,1 ,5 ,
,Y59,South East,NHS Sussex ICB,"Frimley, Surrey & Sussex ",RXC,East Sussex Healthcare NHS Trust,72 ,5 ,5 ,27 ,14 ,6 ,2 ,8 ,1 ,,2 ,2 
,Y59,South East,NHS Sussex ICB,"Frimley, Surrey & Sussex ",RYR,University Hospitals Sussex NHS Foundation Trust,171 ,11 ,15 ,51 ,41 ,,5 ,32 ,6 ,,7 ,3 
,Y60,Midlands,NHS Birmingham and Solihull ICB,West Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,58 ,3 ,1 ,21 ,14 ,,1 ,12 ,2 ,,2 ,2 
,Y60,Midlands,NHS Birmingham and Solihull ICB,West Midlands,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,22 ,2 ,1 ,3 ,6 ,,,10 ,,,,
,Y60,Midlands,NHS Birmingham and Solihull ICB,West Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,192 ,15 ,15 ,40 ,49 ,15 ,8 ,35 ,6 ,4 ,5 ,
,Y60,Midlands,NHS Black Country ICB,West Midlands,RBK,Walsall Healthcare NHS Trust,45 ,2 ,5 ,15 ,13 ,,,7 ,1 ,,2 ,
,Y60,Midlands,NHS Black Country ICB,West Midlands,RL4,The Royal Wolverhampton NHS Trust,74 ,5 ,6 ,25 ,23 ,2 ,2 ,8 ,1 ,,2 ,
,Y60,Midlands,NHS Black Country ICB,West Midlands,RNA,The Dudley Group NHS Foundation Trust,95 ,3 ,4 ,56 ,13 ,6 ,2 ,7 ,2 ,,1 ,1 
